tissue	outcome	avi_quintile	tested	observed	expected	observed_expected	ci_low	ci_high
Brain_Caudate_basal_ganglia	finemapped	2	1778371	143	194.988	0.733377	0.572729	0.8893
Brain_Caudate_basal_ganglia	finemapped	3	1811250	331	371.509	0.890961	0.784299	1.0042
Brain_Caudate_basal_ganglia	finemapped	4	1985725	694	682.484	1.01687	0.938626	1.10206
Brain_Caudate_basal_ganglia	finemapped	5	1724656	1227	1118.09	1.09741	1.04277	1.15002
Brain_Cerebellar_Hemisphere	eqtl	1	1922109	31046	42486.9	0.73072	0.564195	0.919236
Brain_Cerebellar_Hemisphere	eqtl	2	1773356	43397	72481.3	0.598733	0.507713	0.698997
Brain_Cerebellar_Hemisphere	eqtl	3	1807004	92697	106151	0.873256	0.768119	0.978823
Brain_Cerebellar_Hemisphere	eqtl	4	1985437	188588	164524	1.14626	1.09285	1.19542
Brain_Cerebellar_Hemisphere	eqtl	5	1724297	243798	213883	1.13987	1.07147	1.21573
Brain_Cerebellar_Hemisphere	lead	1	1922109	275	450.112	0.610959	0.543668	0.684296
Brain_Cerebellar_Hemisphere	lead	2	1773356	596	841.646	0.708136	0.642809	0.772653
Brain_Cerebellar_Hemisphere	lead	3	1807004	1065	1354.52	0.786259	0.731616	0.846313
Brain_Cerebellar_Hemisphere	lead	4	1985437	2232	2234.03	0.999091	0.955942	1.04531
Brain_Cerebellar_Hemisphere	lead	5	1724297	3954	3241.69	1.21973	1.18286	1.25996
Brain_Cerebellar_Hemisphere	finemapped	1	1922109	60	89.8655	0.667664	0.498372	0.863243
Brain_Cerebellar_Hemisphere	finemapped	2	1773356	138	222.839	0.619282	0.499792	0.744834
Brain_Cerebellar_Hemisphere	finemapped	3	1807004	329	445.128	0.739114	0.640114	0.846393
Brain_Cerebellar_Hemisphere	finemapped	4	1985437	791	825.734	0.957935	0.887077	1.03576
Brain_Cerebellar_Hemisphere	finemapped	5	1724297	1637	1371.43	1.19364	1.13969	1.24888
Brain_Cerebellum	eqtl	1	1917139	36649	51785.3	0.707711	0.553081	0.880607
Brain_Cerebellum	eqtl	2	1773914	56623	89512.4	0.632572	0.552075	0.730915
Brain_Cerebellum	eqtl	3	1807004	108823	130866	0.831558	0.740952	0.923994
Brain_Cerebellum	eqtl	4	1985457	228709	201155	1.13698	1.09139	1.1846
Brain_Cerebellum	eqtl	5	1724297	300347	257832	1.16489	1.10168	1.23079
Brain_Cerebellum	lead	1	1917139	319	503.644	0.633384	0.565717	0.709164
Brain_Cerebellum	lead	2	1773914	618	945.511	0.653615	0.590517	0.71624
Brain_Cerebellum	lead	3	1807004	1113	1530.99	0.726982	0.678982	0.773652
Brain_Cerebellum	lead	4	1985457	2462	2535.99	0.970822	0.933187	1.01416
Brain_Cerebellum	lead	5	1724297	4668	3663.86	1.27406	1.23947	1.31046
Brain_Cerebellum	finemapped	1	1917139	63	112.292	0.561038	0.399486	0.754362
Brain_Cerebellum	finemapped	2	1773914	190	277.011	0.685892	0.567591	0.80844
Brain_Cerebellum	finemapped	3	1807004	448	554.973	0.807247	0.711227	0.916103
Brain_Cerebellum	finemapped	4	1985457	977	1025.07	0.953104	0.892602	1.01666
Brain_Cerebellum	finemapped	5	1724297	1989	1697.65	1.17162	1.12751	1.21634
Brain_Cortex	eqtl	1	1933185	27891	42635.1	0.654179	0.486824	0.837327
Brain_Cortex	eqtl	2	1778330	45916	72998.5	0.628999	0.534465	0.728273
Brain_Cortex	eqtl	3	1810261	94654	103867	0.911301	0.799586	1.02578
Brain_Cortex	eqtl	4	1984425	185101	158314	1.1692	1.11337	1.22198
Brain_Cortex	eqtl	5	1724638	228155	203903	1.11894	1.04365	1.19578
Brain_Cortex	lead	1	1933185	276	433.91	0.636076	0.565457	0.715246
Brain_Cortex	lead	2	1778330	525	805.55	0.651729	0.595115	0.712901
Brain_Cortex	lead	3	1810261	1009	1261.47	0.799863	0.747025	0.855277
Brain_Cortex	lead	4	1984425	2017	2056.78	0.980657	0.939529	1.02761
Brain_Cortex	lead	5	1724638	3722	2991.29	1.24428	1.20598	1.28549
Brain_Cortex	finemapped	1	1933185	52	87.22	0.596194	0.443454	0.756117
Brain_Cortex	finemapped	2	1778330	155	209.77	0.738904	0.593134	0.885003
Brain_Cortex	finemapped	3	1810261	326	409.386	0.796314	0.689407	0.911744
Brain_Cortex	finemapped	4	1984425	746	755.781	0.987058	0.914335	1.06497
Brain_Cortex	finemapped	5	1724638	1459	1275.84	1.14356	1.09014	1.19457
Brain_Frontal_Cortex_BA9	eqtl	1	1946950	21497	31397.2	0.684678	0.491548	0.895698
Brain_Frontal_Cortex_BA9	eqtl	2	1781684	33218	53820.2	0.617204	0.520756	0.710646
Brain_Frontal_Cortex_BA9	eqtl	3	1813137	72837	77212.6	0.943331	0.805913	1.07297
Brain_Frontal_Cortex_BA9	eqtl	4	1984748	138091	119456	1.156	1.09667	1.21413
Brain_Frontal_Cortex_BA9	eqtl	5	1724656	172789	156547	1.10375	1.022	1.19283
Brain_Frontal_Cortex_BA9	lead	1	1946950	225	356.326	0.631444	0.553887	0.712797
Brain_Frontal_Cortex_BA9	lead	2	1781684	454	653.562	0.694655	0.626367	0.766205
Brain_Frontal_Cortex_BA9	lead	3	1813137	846	1021.72	0.828019	0.772807	0.889901
Brain_Frontal_Cortex_BA9	lead	4	1984748	1669	1669.34	0.999798	0.953812	1.04672
Brain_Frontal_Cortex_BA9	lead	5	1724656	2904	2397.06	1.21148	1.17283	1.25068
Brain_Frontal_Cortex_BA9	finemapped	1	1946950	47	71.9851	0.652913	0.470492	0.85142
Brain_Frontal_Cortex_BA9	finemapped	2	1781684	130	173.603	0.748837	0.587993	0.908213
Brain_Frontal_Cortex_BA9	finemapped	3	1813137	274	335.663	0.816296	0.712908	0.927385
Brain_Frontal_Cortex_BA9	finemapped	4	1984748	638	618.869	1.03091	0.952382	1.12363
Brain_Frontal_Cortex_BA9	finemapped	5	1724656	1122	1010.88	1.10992	1.04961	1.16539
Brain_Hippocampus	eqtl	1	1934171	14880	21751.3	0.684098	0.469859	0.923577
Brain_Hippocampus	eqtl	2	1778860	21920	38851.9	0.564194	0.467494	0.669479
Brain_Hippocampus	eqtl	3	1808863	55911	56613.3	0.987595	0.81687	1.16763
Brain_Hippocampus	eqtl	4	1984470	103286	88524.7	1.16675	1.09598	1.23619
Brain_Hippocampus	eqtl	5	1724480	127574	117830	1.0827	0.981531	1.1911
Brain_Hippocampus	lead	1	1934171	173	259.625	0.666346	0.575984	0.759801
Brain_Hippocampus	lead	2	1778860	336	494.575	0.679371	0.605162	0.753948
Brain_Hippocampus	lead	3	1808863	660	775.123	0.851478	0.781009	0.925484
Brain_Hippocampus	lead	4	1984470	1294	1279.81	1.01109	0.956698	1.06453
Brain_Hippocampus	lead	5	1724480	2182	1835.87	1.18854	1.14426	1.2307
Brain_Hippocampus	finemapped	1	1934171	33	44.4625	0.742198	0.492541	1.00374
Brain_Hippocampus	finemapped	2	1778860	90	116.237	0.774282	0.606939	0.965131
Brain_Hippocampus	finemapped	3	1808863	178	225.125	0.790673	0.658115	0.934108
Brain_Hippocampus	finemapped	4	1984470	426	420.707	1.01258	0.914446	1.11528
Brain_Hippocampus	finemapped	5	1724480	764	684.469	1.11619	1.04587	1.18446
Brain_Hypothalamus	eqtl	1	1957770	16891	22239.1	0.759517	0.521531	1.02088
Brain_Hypothalamus	eqtl	2	1780424	23326	39448.3	0.591306	0.482383	0.703034
Brain_Hypothalamus	eqtl	3	1809931	57652	58280.1	0.989223	0.812115	1.15633
Brain_Hypothalamus	eqtl	4	1985402	104389	90821.5	1.14939	1.08254	1.21657
Brain_Hypothalamus	eqtl	5	1724638	129913	121382	1.07028	0.968024	1.18467
Brain_Hypothalamus	lead	1	1957770	167	264.567	0.63122	0.532361	0.72479
Brain_Hypothalamus	lead	2	1780424	328	480.12	0.683163	0.592235	0.768752
Brain_Hypothalamus	lead	3	1809931	633	758.176	0.834898	0.766358	0.901714
Brain_Hypothalamus	lead	4	1985402	1316	1242.79	1.0589	1.01017	1.11551
Brain_Hypothalamus	lead	5	1724638	2092	1790.34	1.16849	1.12519	1.21155
Brain_Hypothalamus	finemapped	1	1957770	32	47.2926	0.676638	0.431173	0.960308
Brain_Hypothalamus	finemapped	2	1780424	100	112.625	0.887902	0.662835	1.14062
Brain_Hypothalamus	finemapped	3	1809931	211	222.406	0.948715	0.807302	1.09326
Brain_Hypothalamus	finemapped	4	1985402	415	409.197	1.01418	0.91243	1.1113
Brain_Hypothalamus	finemapped	5	1724638	718	684.479	1.04897	0.984428	1.11011
Brain_Nucleus_accumbens_basal_ganglia	eqtl	1	1935423	25027	35173.9	0.711523	0.532419	0.922466
Brain_Nucleus_accumbens_basal_ganglia	eqtl	2	1777131	39635	61994.1	0.639335	0.538739	0.749358
Brain_Nucleus_accumbens_basal_ganglia	eqtl	3	1811999	82951	89356.3	0.928318	0.80274	1.05739
Brain_Nucleus_accumbens_basal_ganglia	eqtl	4	1985725	160787	138029	1.16488	1.10149	1.22308
Brain_Nucleus_accumbens_basal_ganglia	eqtl	5	1724656	194655	178502	1.09049	1.01307	1.17802
Brain_Nucleus_accumbens_basal_ganglia	lead	1	1935423	256	390.86	0.654967	0.57322	0.739081
Brain_Nucleus_accumbens_basal_ganglia	lead	2	1777131	509	724.964	0.702104	0.634269	0.775428
Brain_Nucleus_accumbens_basal_ganglia	lead	3	1811999	926	1131.66	0.818265	0.764957	0.872854
Brain_Nucleus_accumbens_basal_ganglia	lead	4	1985725	1870	1866.77	1.00173	0.954347	1.04951
Brain_Nucleus_accumbens_basal_ganglia	lead	5	1724656	3252	2698.74	1.20501	1.16885	1.2442
Brain_Nucleus_accumbens_basal_ganglia	finemapped	1	1935423	55	72.9081	0.754374	0.526674	0.974373
Brain_Nucleus_accumbens_basal_ganglia	finemapped	2	1777131	150	183.618	0.816912	0.657561	0.999827
Brain_Nucleus_accumbens_basal_ganglia	finemapped	3	1811999	304	355.719	0.854608	0.750877	0.962706
Brain_Nucleus_accumbens_basal_ganglia	finemapped	4	1985725	672	665.747	1.00939	0.933449	1.09266
Brain_Nucleus_accumbens_basal_ganglia	finemapped	5	1724656	1202	1105.01	1.08778	1.03281	1.13894
