y	variant	y_transform	x_model	x_plot	fit_model_space	ci_lo_model_space	ci_hi_model_space	fit_y_units	ci_lo_y_units	ci_hi_y_units
avi_top1_per_kb	A_raw_x	raw	1772.12	1772.12	40.1393	38.2713	42.0074	40.1393	38.2713	42.0074
avi_top1_per_kb	A_raw_x	raw	1784.86	1784.86	40.2184	38.3352	42.1015	40.2184	38.3352	42.1015
avi_top1_per_kb	A_raw_x	raw	1797.6	1797.6	40.2974	38.3991	42.1957	40.2974	38.3991	42.1957
avi_top1_per_kb	A_raw_x	raw	1810.34	1810.34	40.3764	38.463	42.2898	40.3764	38.463	42.2898
avi_top1_per_kb	A_raw_x	raw	1823.09	1823.09	40.4555	38.5269	42.384	40.4555	38.5269	42.384
avi_top1_per_kb	A_raw_x	raw	1835.83	1835.83	40.5345	38.5908	42.4782	40.5345	38.5908	42.4782
avi_top1_per_kb	A_raw_x	raw	1848.57	1848.57	40.6135	38.6547	42.5724	40.6135	38.6547	42.5724
avi_top1_per_kb	A_raw_x	raw	1861.31	1861.31	40.6926	38.7186	42.6666	40.6926	38.7186	42.6666
avi_top1_per_kb	A_raw_x	raw	1874.05	1874.05	40.7716	38.7824	42.7608	40.7716	38.7824	42.7608
avi_top1_per_kb	A_raw_x	raw	1886.79	1886.79	40.8506	38.8463	42.855	40.8506	38.8463	42.855
avi_top1_per_kb	A_raw_x	raw	1899.54	1899.54	40.9297	38.9102	42.9492	40.9297	38.9102	42.9492
avi_top1_per_kb	A_raw_x	raw	1912.28	1912.28	41.0087	38.974	43.0434	41.0087	38.974	43.0434
avi_top1_per_kb	A_raw_x	raw	1925.02	1925.02	41.0878	39.0379	43.1376	41.0878	39.0379	43.1376
avi_top1_per_kb	A_raw_x	raw	1937.76	1937.76	41.1668	39.1017	43.2318	41.1668	39.1017	43.2318
avi_top1_per_kb	A_raw_x	raw	1950.5	1950.5	41.2458	39.1656	43.3261	41.2458	39.1656	43.3261
avi_top1_per_kb	A_raw_x	raw	1963.25	1963.25	41.3249	39.2294	43.4203	41.3249	39.2294	43.4203
avi_top1_per_kb	A_raw_x	raw	1975.99	1975.99	41.4039	39.2932	43.5145	41.4039	39.2932	43.5145
avi_top1_per_kb	A_raw_x	raw	1988.73	1988.73	41.4829	39.3571	43.6088	41.4829	39.3571	43.6088
